部材,点ラベル,x_mm,y_mm
葉A,A,-0.0,-2.31
葉A,B,-2.0,1.15
葉A,C,-2.0,30.6
葉A,D,0.0,34.06
葉A,E,2.0,30.6
葉A,F,2.0,1.15
BC連続部材,H,-0.0,-2.31
BC連続部材,I,-25.5,-17.03
BC連続部材,J,-29.5,-17.03
BC連続部材,K,-27.5,-13.57
BC連続部材,L,-2.0,1.15
BC連続部材,N,2.0,1.15
BC連続部材,P,27.5,-13.57
BC連続部材,Q,29.5,-17.03
BC連続部材,R,25.5,-17.03
BC連続部材,S,0.0,-2.31
BCスリット,H,-0.0,-2.31
BCスリット,L,-2.0,1.15
BCスリット,N,2.0,1.15
